P3, tp=0, ts=0
P0, tp=0, ts=0, x0=228331474
P2, tp=0, ts=0, x0=642553759
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=461807606
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=10932329
P1, tp=0, ts=0, x0=729133951
P0, tp=0, ts=0, x0=377301598
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=602083814
P2, tp=0, ts=0, x0=905226255
P3, tp=0, ts=0
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=72765936
P2, tp=0, ts=0, x0=642553759
P2, tp=0, ts=0, x0=870269555
P2, tp=0, ts=0, x0=18709334
P1, tp=0, ts=0, x0=386218870
P0, tp=0, ts=0, x0=328515787
P2, tp=0, ts=0, x0=377301598
P1, tp=0, ts=0, x0=666082975
P2, tp=0, ts=0, x0=724120811
P0, tp=0, ts=0, x0=351151922
P0, tp=0, ts=0, x0=461807606
P2, tp=0, ts=0, x0=73269769
P1, tp=0, ts=0, x0=328515787
P0, tp=0, ts=0, x0=248774096
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=606113143
P2, tp=0, ts=0, x0=606967315
P1, tp=0, ts=0, x0=463275880
P2, tp=0, ts=0, x0=461807606
P1, tp=0, ts=0, x0=16373219
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=551152087
P1, tp=0, ts=0, x0=843943083
P0, tp=0, ts=0, x0=905226255
P2, tp=0, ts=0, x0=551152087
P2, tp=0, ts=0, x0=351151922
P0, tp=0, ts=0, x0=5126561
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=328515787
P1, tp=0, ts=0, x0=606113143
P0, tp=0, ts=0, x0=606967315
P1, tp=0, ts=0, x0=463275880
P1, tp=0, ts=0, x0=248774096
P1, tp=0, ts=0, x0=722268122
P1, tp=0, ts=0, x0=263078228
P1, tp=0, ts=0, x0=724120811
P2, tp=0, ts=0, x0=602083814
P1, tp=0, ts=0, x0=328515787
P2, tp=0, ts=0, x0=741139708
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=355617325
P0, tp=0, ts=0, x0=782304503
P0, tp=0, ts=0, x0=263078228
P2, tp=0, ts=0, x0=741139708
P2, tp=0, ts=0, x0=328515787
P0, tp=0, ts=0, x0=941288943
P2, tp=0, ts=0, x0=543446181
P1, tp=0, ts=0, x0=745871574
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=248774096
P0, tp=0, ts=0, x0=37375084
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=686995935
P2, tp=0, ts=0, x0=741139708
P1, tp=0, ts=0, x0=606967315
P2, tp=0, ts=0, x0=10932329
P0, tp=0, ts=0, x0=10932329
P0, tp=0, ts=0, x0=377301598
P2, tp=0, ts=0, x0=569872521
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=226070484
P2, tp=0, ts=0, x0=535982850
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=148737049
P1, tp=0, ts=0, x0=228331474
P0, tp=0, ts=0, x0=642553759
P1, tp=0, ts=0, x0=606113143
P0, tp=0, ts=0, x0=241279976
P2, tp=0, ts=0, x0=367736408
P1, tp=0, ts=0, x0=905226255
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=643958897
P0, tp=0, ts=0, x0=926246428
P0, tp=0, ts=0, x0=148737049
P2, tp=0, ts=0, x0=10932329
P2, tp=0, ts=0, x0=377301598
P1, tp=0, ts=0, x0=551152087
P2, tp=0, ts=0, x0=535982850
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=328515787
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=666082975
P2, tp=0, ts=0, x0=569872521
P2, tp=0, ts=0, x0=271925315
P2, tp=0, ts=0, x0=463275880
P0, tp=0, ts=0, x0=843943083
P1, tp=0, ts=0, x0=271925315
P0, tp=0, ts=0, x0=606113143
P0, tp=0, ts=0, x0=725762786
P1, tp=0, ts=0, x0=643958897
P2, tp=0, ts=0, x0=663396134
P1, tp=0, ts=0, x0=843943083
P1, tp=0, ts=0, x0=248774096
P2, tp=0, ts=0, x0=328515787
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=22312927
P0, tp=0, ts=0, x0=819702502
P0, tp=0, ts=0, x0=724120811
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=73269769
P0, tp=0, ts=0, x0=10932329
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=602083814
P2, tp=0, ts=0, x0=377301598
P0, tp=0, ts=0, x0=881352907
P3, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=905226255
P0, tp=0, ts=0, x0=380855812
P2, tp=0, ts=0, x0=881352907
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=298920788
P0, tp=0, ts=0, x0=132139073
P0, tp=0, ts=0, x0=16373219
P0, tp=0, ts=0, x0=686995935
P0, tp=0, ts=0, x0=543446181
P0, tp=0, ts=0, x0=905226255
P1, tp=0, ts=0, x0=535982850
P1, tp=0, ts=0, x0=602083814
P0, tp=0, ts=0, x0=263078228
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=24488068
P0, tp=0, ts=0, x0=741139708
P1, tp=0, ts=0, x0=351151922
P0, tp=0, ts=0, x0=536210395
P0, tp=0, ts=0, x0=355617325
P0, tp=0, ts=0, x0=729133951
P1, tp=0, ts=0, x0=241279976
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=18709334
P0, tp=0, ts=0, x0=248774096
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=132139073
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=941288943
P0, tp=0, ts=0, x0=870269555
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=225997902
P2, tp=0, ts=0, x0=643958897
P0, tp=0, ts=0, x0=606967315
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=535982850
P1, tp=0, ts=0, x0=228331474
P0, tp=0, ts=0, x0=729133951
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=94499641
P2, tp=0, ts=0, x0=666082975
P1, tp=0, ts=0, x0=643958897
P0, tp=0, ts=0, x0=196980072
P2, tp=0, ts=0, x0=905226255
P1, tp=0, ts=0, x0=463275880
P1, tp=0, ts=0, x0=606113143
P0, tp=0, ts=0, x0=643958897
P2, tp=0, ts=0, x0=551152087
P1, tp=0, ts=0, x0=569872521
P1, tp=0, ts=0, x0=926246428
P0, tp=0, ts=0, x0=148737049
P0, tp=0, ts=0, x0=569872521
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=73269769
P0, tp=0, ts=0, x0=551152087
P0, tp=0, ts=0, x0=24488068
P1, tp=0, ts=0, x0=367736408
P1, tp=0, ts=0, x0=602083814
P1, tp=0, ts=0, x0=351151922
P1, tp=0, ts=0, x0=225997902
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=782304503
P1, tp=0, ts=0, x0=72765936
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=355617325
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=602083814
P2, tp=0, ts=0, x0=543446181
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=18709334
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=551152087
P2, tp=0, ts=0, x0=386218870
P1, tp=0, ts=0, x0=622214378
P0, tp=0, ts=0, x0=551152087
P1, tp=0, ts=0, x0=241279976
P1, tp=0, ts=0, x0=606967315
P0, tp=0, ts=0, x0=905226255
P2, tp=0, ts=0, x0=386218870
P2, tp=0, ts=0, x0=94499641
P2, tp=0, ts=0, x0=923094017
P3, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=905226255
P1, tp=0, ts=0, x0=782304503
P2, tp=0, ts=0, x0=666082975
P0, tp=0, ts=0, x0=941288943
P1, tp=0, ts=0, x0=380855812
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=355617325
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=817100182
P2, tp=0, ts=0, x0=961574958
P1, tp=0, ts=0, x0=271925315
P2, tp=0, ts=0, x0=890625569
P2, tp=0, ts=0, x0=974256347
P2, tp=0, ts=0, x0=141720055
P2, tp=0, ts=0, x0=367736408
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=602083814
P2, tp=0, ts=0, x0=386218870
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=569872521
P1, tp=0, ts=0, x0=328515787
P2, tp=0, ts=0, x0=18709334
P2, tp=0, ts=0, x0=663396134
P1, tp=0, ts=0, x0=543446181
P1, tp=0, ts=0, x0=941288943
P1, tp=0, ts=0, x0=725762786
P1, tp=0, ts=0, x0=271925315
P0, tp=0, ts=0, x0=622214378
P2, tp=0, ts=0, x0=535982850
P2, tp=0, ts=0, x0=819702502
P0, tp=0, ts=0, x0=351151922
P0, tp=0, ts=0, x0=569872521
P0, tp=0, ts=0, x0=367736408
P2, tp=0, ts=0, x0=225997902
P2, tp=0, ts=0, x0=516863565
P1, tp=0, ts=0, x0=843943083
P0, tp=0, ts=0, x0=22312927
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=94499641
P2, tp=0, ts=0, x0=881352907
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=263078228
P2, tp=0, ts=0, x0=228331474
P1, tp=0, ts=0, x0=843943083
P0, tp=0, ts=0, x0=461807606
P2, tp=0, ts=0, x0=167447574
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=225997902
P1, tp=0, ts=0, x0=592550046
P2, tp=0, ts=0, x0=745871574
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=905226255
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=762707131
P2, tp=0, ts=0, x0=536210395
P1, tp=0, ts=0, x0=642553759
P2, tp=0, ts=0, x0=386218870
P2, tp=0, ts=0, x0=551152087
P0, tp=0, ts=0, x0=663396134
P0, tp=0, ts=0, x0=817100182
P3, tp=0, ts=0
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=666082975
P1, tp=0, ts=0, x0=592550046
P1, tp=0, ts=0, x0=663396134
P1, tp=0, ts=0, x0=355617325
P1, tp=0, ts=0, x0=698984830
P2, tp=0, ts=0, x0=463275880
P1, tp=0, ts=0, x0=843943083
P1, tp=0, ts=0, x0=141720055
P2, tp=0, ts=0, x0=18709334
P2, tp=0, ts=0, x0=870269555
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=196980072
P1, tp=0, ts=0, x0=16373219
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=974256347
P0, tp=0, ts=0, x0=328515787
P2, tp=0, ts=0, x0=881352907
P0, tp=0, ts=0, x0=642553759
P0, tp=0, ts=0, x0=725762786
P0, tp=0, ts=0, x0=762707131
P2, tp=0, ts=0, x0=536210395
P1, tp=0, ts=0, x0=226070484
P0, tp=0, ts=0, x0=870269555
P0, tp=0, ts=0, x0=666082975
P0, tp=0, ts=0, x0=386218870
P2, tp=0, ts=0, x0=16373219
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=167447574
P1, tp=0, ts=0, x0=643958897
P1, tp=0, ts=0, x0=351151922
P2, tp=0, ts=0, x0=386218870
P2, tp=0, ts=0, x0=843943083
P1, tp=0, ts=0, x0=870269555
P0, tp=0, ts=0, x0=569872521
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=602083814
P1, tp=0, ts=0, x0=380855812
P2, tp=0, ts=0, x0=463275880
P2, tp=0, ts=0, x0=923094017
P2, tp=0, ts=0, x0=643958897
P2, tp=0, ts=0, x0=905226255
P2, tp=0, ts=0, x0=819702502
P0, tp=0, ts=0, x0=328515787
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=18709334
P1, tp=0, ts=0, x0=636597273
P3, tp=0, ts=0
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=225997902
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=351151922
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=204285906
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=636597273
P2, tp=0, ts=0, x0=725762786
P2, tp=0, ts=0, x0=543446181
P2, tp=0, ts=0, x0=226070484
P0, tp=0, ts=0, x0=228331474
P1, tp=0, ts=0, x0=37375084
P2, tp=0, ts=0, x0=724120811
P0, tp=0, ts=0, x0=351151922
P0, tp=0, ts=0, x0=380855812
P2, tp=0, ts=0, x0=10932329
P1, tp=0, ts=0, x0=10932329
P2, tp=0, ts=0, x0=167447574
P2, tp=0, ts=0, x0=974256347
P1, tp=0, ts=0, x0=797379357
P0, tp=0, ts=0, x0=750326500
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=750326500
P0, tp=0, ts=0, x0=729133951
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=881352907
P2, tp=0, ts=0, x0=495100256
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=10932329
P2, tp=0, ts=0, x0=72765936
P1, tp=0, ts=0, x0=698984830
P1, tp=0, ts=0, x0=606967315
P1, tp=0, ts=0, x0=377301598
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=722268122
P1, tp=0, ts=0, x0=380855812
P2, tp=0, ts=0, x0=853573725
P2, tp=0, ts=0, x0=905226255
P1, tp=0, ts=0, x0=73269769
P0, tp=0, ts=0, x0=495100256
P1, tp=0, ts=0, x0=569872521
P2, tp=0, ts=0, x0=547759378
P0, tp=0, ts=0, x0=636597273
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=148737049
P2, tp=0, ts=0, x0=516863565
P2, tp=0, ts=0, x0=843943083
P1, tp=0, ts=0, x0=647152275
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=606967315
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=762707131
P1, tp=0, ts=0, x0=516863565
P3, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=606113143
P0, tp=0, ts=0, x0=535982850
P2, tp=0, ts=0, x0=870269555
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=817100182
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=196980072
P1, tp=0, ts=0, x0=551152087
P0, tp=0, ts=0, x0=196980072
P0, tp=0, ts=0, x0=241279976
P1, tp=0, ts=0, x0=843943083
P1, tp=0, ts=0, x0=881352907
P0, tp=0, ts=0, x0=543446181
P1, tp=0, ts=0, x0=852588182
P1, tp=0, ts=0, x0=686995935
P0, tp=0, ts=0, x0=380855812
P0, tp=0, ts=0, x0=24488068
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=926246428
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=745871574
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=355617325
P1, tp=0, ts=0, x0=94499641
P0, tp=0, ts=0, x0=298920788
P1, tp=0, ts=0, x0=622214378
P0, tp=0, ts=0, x0=663396134
P1, tp=0, ts=0, x0=819702502
P2, tp=0, ts=0, x0=606113143
P2, tp=0, ts=0, x0=37375084
P1, tp=0, ts=0, x0=72765936
P2, tp=0, ts=0, x0=179248493
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=380855812
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=722268122
P0, tp=0, ts=0, x0=974256347
P2, tp=0, ts=0, x0=495100256
P2, tp=0, ts=0, x0=167447574
P2, tp=0, ts=0, x0=819702502
P2, tp=0, ts=0, x0=73269769
P0, tp=0, ts=0, x0=926246428
P0, tp=0, ts=0, x0=592550046
P2, tp=0, ts=0, x0=167447574
P2, tp=0, ts=0, x0=16373219
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=890625569
P1, tp=0, ts=0, x0=72765936
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=722268122
P1, tp=0, ts=0, x0=495100256
P0, tp=0, ts=0, x0=94499641
P2, tp=0, ts=0, x0=606967315
P2, tp=0, ts=0, x0=367736408
P0, tp=0, ts=0, x0=965546899
P1, tp=0, ts=0, x0=671487516
P2, tp=0, ts=0, x0=890625569
P2, tp=0, ts=0, x0=602083814
P1, tp=0, ts=0, x0=94499641
P3, tp=0, ts=0
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=666082975
P2, tp=0, ts=0, x0=380855812
P1, tp=0, ts=0, x0=463275880
P0, tp=0, ts=0, x0=725762786
P1, tp=0, ts=0, x0=663396134
P3, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=622214378
P2, tp=0, ts=0, x0=298920788
P0, tp=0, ts=0, x0=461807606
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=72765936
P2, tp=0, ts=0, x0=536210395
P2, tp=0, ts=0, x0=461807606
P2, tp=0, ts=0, x0=22312927
P1, tp=0, ts=0, x0=107197177
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=622214378
P2, tp=0, ts=0, x0=226070484
P2, tp=0, ts=0, x0=351151922
P0, tp=0, ts=0, x0=686995935
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=934611403
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=263078228
P2, tp=0, ts=0, x0=725762786
P1, tp=0, ts=0, x0=881352907
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=118682444
P0, tp=0, ts=0, x0=543446181
P1, tp=0, ts=0, x0=729133951
P2, tp=0, ts=0, x0=569872521
P1, tp=0, ts=0, x0=750326500
P0, tp=0, ts=0, x0=107197177
P0, tp=0, ts=0, x0=73269769
P0, tp=0, ts=0, x0=386218870
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=819702502
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=167447574
P1, tp=0, ts=0, x0=73269769
P2, tp=0, ts=0, x0=380855812
P2, tp=0, ts=0, x0=87180512
P1, tp=0, ts=0, x0=386218870
P1, tp=0, ts=0, x0=461807606
P0, tp=0, ts=0, x0=380855812
P3, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=461807606
P2, tp=0, ts=0, x0=797379357
P0, tp=0, ts=0, x0=107197177
P0, tp=0, ts=0, x0=87180512
P0, tp=0, ts=0, x0=208602126
P2, tp=0, ts=0, x0=622214378
P2, tp=0, ts=0, x0=463275880
P0, tp=0, ts=0, x0=636597273
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=569872521
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=647152275
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=941288943
P0, tp=0, ts=0, x0=965546899
P0, tp=0, ts=0, x0=974256347
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=817100182
P2, tp=0, ts=0, x0=745871574
P2, tp=0, ts=0, x0=782304503
P2, tp=0, ts=0, x0=819702502
P0, tp=0, ts=0, x0=762707131
P0, tp=0, ts=0, x0=708289501
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=16373219
P1, tp=0, ts=0, x0=228331474
P0, tp=0, ts=0, x0=636597273
P1, tp=0, ts=0, x0=569872521
P2, tp=0, ts=0, x0=843943083
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=725762786
P2, tp=0, ts=0, x0=228331474
P2, tp=0, ts=0, x0=355617325
P2, tp=0, ts=0, x0=592550046
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=226070484
P0, tp=0, ts=0, x0=536210395
P2, tp=0, ts=0, x0=225997902
P2, tp=0, ts=0, x0=941288943
P2, tp=0, ts=0, x0=141720055
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=202148014
P1, tp=0, ts=0, x0=463275880
P0, tp=0, ts=0, x0=669702208
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=698984830
P2, tp=0, ts=0, x0=651742735
P2, tp=0, ts=0, x0=248774096
P1, tp=0, ts=0, x0=941288943
P2, tp=0, ts=0, x0=228331474
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=708289501
P1, tp=0, ts=0, x0=905226255
P0, tp=0, ts=0, x0=870269555
P2, tp=0, ts=0, x0=729133951
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=606113143
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=725762786
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=636597273
P1, tp=0, ts=0, x0=463275880
P1, tp=0, ts=0, x0=606113143
P1, tp=0, ts=0, x0=724120811
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=941288943
P2, tp=0, ts=0, x0=651742735
P1, tp=0, ts=0, x0=923094017
P1, tp=0, ts=0, x0=724120811
P0, tp=0, ts=0, x0=881352907
P0, tp=0, ts=0, x0=228331474
P1, tp=0, ts=0, x0=881352907
P1, tp=0, ts=0, x0=228331474
P0, tp=0, ts=0, x0=38418040
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=934611403
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=799359642
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=196980072
P0, tp=0, ts=0, x0=973468725
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=606113143
P1, tp=0, ts=0, x0=762707131
P1, tp=0, ts=0, x0=132139073
P0, tp=0, ts=0, x0=934611403
P0, tp=0, ts=0, x0=248774096
P1, tp=0, ts=0, x0=516863565
P2, tp=0, ts=0, x0=965546899
P2, tp=0, ts=0, x0=73269769
P0, tp=0, ts=0, x0=543446181
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=592550046
P0, tp=0, ts=0, x0=729133951
P0, tp=0, ts=0, x0=516863565
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=602083814
P2, tp=0, ts=0, x0=669702208
P0, tp=0, ts=0, x0=256486753
P1, tp=0, ts=0, x0=843943083
P2, tp=0, ts=0, x0=569872521
P1, tp=0, ts=0, x0=228331474
P0, tp=0, ts=0, x0=248774096
P2, tp=0, ts=0, x0=701974519
P0, tp=0, ts=0, x0=10932329
P0, tp=0, ts=0, x0=782304503
P1, tp=0, ts=0, x0=647152275
P1, tp=0, ts=0, x0=248774096
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=298920788
P1, tp=0, ts=0, x0=208602126
P0, tp=0, ts=0, x0=961574958
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=722268122
P2, tp=0, ts=0, x0=934611403
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=722268122
P1, tp=0, ts=0, x0=5126561
P2, tp=0, ts=0, x0=132139073
P1, tp=0, ts=0, x0=535982850
P3, tp=0, ts=0
P3, tp=0, ts=0
P0, tp=0, ts=0, x0=942337079
P0, tp=0, ts=0, x0=5126561
P0, tp=0, ts=0, x0=38418040
P2, tp=0, ts=0, x0=669702208
P2, tp=0, ts=0, x0=926246428
P0, tp=0, ts=0, x0=107197177
P0, tp=0, ts=0, x0=759911600
P2, tp=0, ts=0, x0=367736408
P2, tp=0, ts=0, x0=905226255
P1, tp=0, ts=0, x0=38418040
P0, tp=0, ts=0, x0=543446181
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=741139708
P0, tp=0, ts=0, x0=556092134
P2, tp=0, ts=0, x0=737340458
P1, tp=0, ts=0, x0=271925315
P0, tp=0, ts=0, x0=722268122
P0, tp=0, ts=0, x0=569872521
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=819702502
P1, tp=0, ts=0, x0=18709334
P3, tp=0, ts=0
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=686995935
P0, tp=0, ts=0, x0=543446181
P2, tp=0, ts=0, x0=94499641
P2, tp=0, ts=0, x0=148737049
P3, tp=0, ts=0
P2, tp=0, ts=0, x0=204285906
P2, tp=0, ts=0, x0=725762786
P1, tp=0, ts=0, x0=516863565
P1, tp=0, ts=0, x0=271925315
P1, tp=0, ts=0, x0=10932329
P1, tp=0, ts=0, x0=666082975
P1, tp=0, ts=0, x0=38418040
P1, tp=0, ts=0, x0=636597273
P1, tp=0, ts=0, x0=22312927
P2, tp=0, ts=0, x0=105339938
P3, tp=0, ts=0
P1, tp=0, ts=0, x0=226070484
P1, tp=0, ts=0, x0=799359642
P1, tp=0, ts=0, x0=105339938
P1, tp=0, ts=0, x0=741139708
P2, tp=0, ts=0, x0=208602126
P0, tp=0, ts=0, x0=271306927
P1, tp=0, ts=0, x0=551152087
P1, tp=0, ts=0, x0=547759378
P2, tp=0, ts=0, x0=298920788
P3, tp=0, ts=0
P3, tp=0, ts=0
